k,edges,modularity,communities,top2_size,top2_frauds,precision,recall,seconds
5,1011469,0.9738741517066956,642,454,373,0.8215859030837004,0.758130081300813,2.1737873554229736
10,2012902,0.963580846786499,206,462,381,0.8246753246753247,0.774390243902439,5.281829118728638
15,3020705,0.9567307829856873,138,462,381,0.8246753246753247,0.774390243902439,8.145334005355835
20,4032338,0.9518617391586304,112,461,381,0.8264642082429501,0.774390243902439,8.835854053497314
25,5048651,0.9473931789398193,97,461,381,0.8264642082429501,0.774390243902439,8.931784629821777
30,6067978,0.9435231685638428,92,10682,433,0.04053548024714473,0.8800813008130082,12.452955722808838
40,8114695,0.9356716871261597,74,3485,408,0.11707317073170732,0.8292682926829268,16.143146514892578
50,10171177,0.9302242398262024,66,3536,411,0.11623303167420815,0.8353658536585366,33.397968769073486
